,Protein 1 ID,P1 name,Protein 2 ID,P2 name,Retained DDIs,Lost DDIs
0,ENSG00000121454,LHX4,ENSG00000141646,SMAD4,PF00046-PF03165 ; PF00046-PF03166,-
1,ENSG00000121454,LHX4,ENSG00000196628,TCF4,PF00046-PF00010 ; PF00412-PF00010,-
2,ENSG00000121454,LHX4,ENSG00000185811,IKZF1,PF00046-PF00096,-
3,ENSG00000121454,LHX4,ENSG00000139990,DCAF5,PF00046-PF00400,-
4,ENSG00000121454,LHX4,ENSG00000138002,IFT172,PF00046-PF00400,-
5,ENSG00000121454,LHX4,ENSG00000169744,LDB2,PF00412-PF17916,-
6,ENSG00000121454,LHX4,ENSG00000198728,LDB1,PF00412-PF17916,-
7,ENSG00000121454,LHX4,ENSG00000143514,TP53BP2,PF00412-PF12796,-
8,ENSG00000121454,LHX4,ENSG00000105732,ZNF574,PF00046-PF00096,-
9,ENSG00000165637,VDAC2,ENSG00000138073,PREB,PF01459-PF00400,-
10,ENSG00000165637,VDAC2,ENSG00000172354,GNB2,PF01459-PF00400,-
11,ENSG00000165637,VDAC2,ENSG00000075785,RAB7A,PF01459-PF00071,-
12,ENSG00000165637,VDAC2,ENSG00000078369,GNB1,PF01459-PF00400,-
13,ENSG00000165637,VDAC2,ENSG00000104388,RAB2A,PF01459-PF00071,-
14,ENSG00000165637,VDAC2,ENSG00000078668,VDAC3,PF01459-PF01459,-
15,ENSG00000165637,VDAC2,ENSG00000108774,RAB5C,PF01459-PF00071,-
16,ENSG00000165637,VDAC2,ENSG00000213585,VDAC1,PF01459-PF01459,-
17,ENSG00000165637,VDAC2,ENSG00000130204,TOMM40,PF01459-PF01459,-
18,ENSG00000165637,VDAC2,ENSG00000131652,THOC6,PF01459-PF00400,-
19,ENSG00000165637,VDAC2,ENSG00000114450,GNB4,PF01459-PF00400,-
20,ENSG00000107745,MICU1,ENSG00000155970,MICU3,PF13833-PF13833 ; PF13202-PF13833,-
21,ENSG00000107745,MICU1,ENSG00000165487,MICU2,PF13833-PF13833 ; PF13202-PF13833,-
22,ENSG00000130513,GDF15,ENSG00000112062,MAPK14,PF00019-PF00069,-
23,ENSG00000130513,GDF15,ENSG00000130513,GDF15,PF00019-PF00019,-
